,Baja_cliente,Género,Jubilado,Pareja,Hijos,Meses_de_Contrato,Servicio_Telefónico,Multi_Lineas,Servicio_Internet,Seguridad_Online,Servicio_de_Backup,Proteccion_de_Dispositivo,Soporte_Tecnico_Full,Stream_TV,Stream_Movies,Contrato,Factura_Online,Forma_de_Pago,Tarifa_Mensual_Cliente,Total_Tarifas_Cliente,Tarifa_por_Dia
17,0,Femenino,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Factura electrónica,72.1,72.1,2.4033333333333333
18,1,Masculino,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de crédito (automático),62.7,2791.5,2.0900000000000003
19,1,Masculino,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Mensual,1,Factura electrónica,25.1,25.1,0.8366666666666667
20,0,Femenino,1,1,0,50,1,1,No,0,0,0,0,0,0,Anual,0,Factura electrónica,25.2,1306.3,0.84
21,1,Femenino,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Mensual,0,Factura electrónica,94.1,1215.6,3.1366666666666663
22,0,Femenino,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Mensual,1,Factura electrónica,83.75,1849.95,2.7916666666666665
23,0,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,19.85,57.2,0.6616666666666667
24,1,Femenino,0,1,1,4,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,20.35,76.35,0.6783333333333333
25,1,Femenino,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Mensual,0,Débito automático,30.5,30.5,1.0166666666666666
26,0,Femenino,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,Anual,1,Débito automático,103.7,5656.75,3.4566666666666666
27,0,Masculino,0,1,1,54,1,0,No,0,0,0,0,0,0,Bianual,0,Tarjeta de crédito (automático),20.4,1090.6,0.6799999999999999
28,0,Masculino,0,0,0,26,1,0,No,0,0,0,0,0,0,Anual,1,Débito automático,19.6,471.85,0.6533333333333334
29,0,Femenino,0,1,1,69,1,0,No,0,0,0,0,0,0,Bianual,0,Débito automático,19.7,1396.9,0.6566666666666666
30,,Femenino,0,0,0,11,1,1,Fiber optic,1,0,0,0,0,0,Mensual,1,Débito automático,79.0,929.3,2.6333333333333333
31,0,Masculino,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,Anual,0,Tarjeta de crédito (automático),91.2,3247.55,3.04
32,0,Femenino,0,1,0,49,1,0,No,0,0,0,0,0,0,Anual,0,Débito automático,20.45,900.9,0.6816666666666666
33,0,Masculino,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,Anual,0,Débito automático,115.8,7942.15,3.86
34,0,Femenino,0,0,0,67,1,0,No,0,0,0,0,0,0,Anual,0,Factura electrónica,20.55,1343.4,0.685
35,0,Masculino,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Bianual,1,Tarjeta de crédito (automático),39.4,825.4,1.3133333333333332
36,0,Femenino,0,0,1,43,1,1,No,0,0,0,0,0,0,Bianual,1,Factura electrónica,25.1,1070.15,0.8366666666666667
37,0,Femenino,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Mensual,1,Débito automático,89.8,4959.6,2.993333333333333
38,0,Femenino,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Mensual,1,Factura electrónica,94.75,5597.65,3.158333333333333
39,0,Femenino,0,1,1,12,1,0,No,0,0,0,0,0,0,Bianual,0,Débito automático,20.3,224.5,0.6766666666666666
40,0,Masculino,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Débito automático,75.75,1929,2.525
41,1,Masculino,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensual,1,Factura electrónica,49.25,91.1,1.6416666666666666
42,0,Femenino,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual,0,Factura por correo,78.2,2078.95,2.606666666666667
43,0,Masculino,0,1,1,25,1,1,No,0,0,0,0,0,0,Bianual,0,Tarjeta de crédito (automático),25.5,630.6,0.85
44,0,Masculino,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual,1,Débito automático,61.6,1611,2.0533333333333332
45,0,Masculino,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Mensual,1,Factura por correo,45.0,1242.45,1.5
46,0,Masculino,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Bianual,1,Débito automático,85.15,6316.2,2.8383333333333334
47,0,Femenino,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de crédito (automático),51.45,727.85,1.715
48,0,Femenino,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,Anual,1,Factura electrónica,99.25,3532,3.308333333333333
49,0,Masculino,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,1,Factura por correo,44.3,44.3,1.4766666666666666
50,0,Masculino,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Mensual,1,Factura electrónica,94.2,2607.6,3.14
51,0,Masculino,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual,0,Factura electrónica,81.25,5567.55,2.7083333333333335
52,0,Femenino,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Mensual,1,Tarjeta de crédito (automático),99.95,3767.4,3.3316666666666666
53,0,Femenino,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Mensual,1,Factura electrónica,91.55,3673.6,3.0516666666666667
54,1,Masculino,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Mensual,1,Tarjeta de crédito (automático),104.5,4036.85,3.4833333333333334
55,1,Femenino,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Mensual,1,Factura electrónica,95.0,1120.3,3.1666666666666665
56,0,Femenino,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensual,0,Factura electrónica,50.35,314.55,1.6783333333333335
57,0,Masculino,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensual,1,Factura por correo,64.5,1888.45,2.15
58,0,Masculino,0,0,0,27,1,0,No,0,0,0,0,0,0,Mensual,1,Factura electrónica,19.4,529.8,0.6466666666666666
59,0,Masculino,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,Anual,1,Factura electrónica,104.8,7308.95,3.493333333333333
60,0,Femenino,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,Anual,1,Débito automático,109.4,6252.7,3.646666666666667
61,0,Masculino,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual,0,Tarjeta de crédito (automático),50.3,2878.55,1.6766666666666665
62,0,Masculino,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensual,1,Débito automático,71.4,1212.1,2.3800000000000003
63,0,Femenino,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Bianual,1,Factura electrónica,116.0,8182.85,3.8666666666666667
64,1,Masculino,0,0,0,1,1,0,No,0,0,0,0,0,0,Mensual,1,Factura electrónica,19.85,19.85,0.6616666666666667
65,1,Masculino,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Mensual,1,Factura electrónica,99.75,99.75,3.325
66,0,Masculino,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Mensual,1,Factura por correo,93.95,2861.45,3.131666666666667
67,0,Masculino,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Mensual,1,Débito automático,90.8,1442.2,3.0266666666666664
68,1,Masculino,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual,0,Factura electrónica,84.35,4059.35,2.8116666666666665
69,0,Femenino,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Bianual,0,Débito automático,58.25,4145.9,1.9416666666666667
70,0,Femenino,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Mensual,0,Factura electrónica,107.55,3645.5,3.585
71,0,Femenino,0,1,0,10,1,0,No,0,0,0,0,0,0,Mensual,1,Débito automático,19.95,187.75,0.6649999999999999
72,1,Masculino,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Mensual,1,Factura electrónica,111.2,2317.1,3.7066666666666666
73,1,Masculino,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Mensual,0,Débito automático,40.2,1448.8,1.34
74,0,Femenino,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Mensual,1,Tarjeta de crédito (automático),85.8,2193.65,2.86
75,,Masculino,0,0,0,71,1,0,No,0,0,0,0,0,0,Bianual,1,Tarjeta de crédito (automático),19.9,1355.1,0.6633333333333333
76,0,Masculino,0,0,0,50,0,0,DSL,1,0,0,1,0,0,Anual,1,Factura por correo,35.4,1748.9,1.18
77,1,Femenino,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Factura electrónica,73.85,511.25,2.4616666666666664
78,0,Femenino,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Bianual,0,Factura por correo,88.1,5526.75,2.9366666666666665
79,1,Masculino,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Mensual,1,Factura electrónica,101.35,1553.95,3.378333333333333
80,0,Femenino,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Mensual,0,Factura por correo,45.8,1147,1.5266666666666666
81,0,Masculino,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Mensual,1,Factura electrónica,94.65,6747.35,3.1550000000000002
82,0,Masculino,0,1,1,44,1,0,No,0,0,0,0,0,0,Anual,1,Débito automático,20.5,865.05,0.6833333333333333
83,0,Masculino,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Mensual,0,Tarjeta de crédito (automático),89.4,5976.9,2.98
84,1,Femenino,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Mensual,1,Factura electrónica,86.25,181.65,2.875
85,0,Femenino,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual,0,Débito automático,74.85,3268.05,2.4949999999999997
86,1,Femenino,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Mensual,1,Débito automático,89.75,1052.4,2.9916666666666667
87,0,Masculino,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Bianual,1,Factura electrónica,109.95,7634.25,3.665
88,1,Femenino,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Mensual,1,Factura por correo,80.2,80.2,2.6733333333333333
89,1,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,19.85,63.75,0.6616666666666667
90,0,Femenino,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Mensual,0,Factura electrónica,90.35,190.5,3.0116666666666663
91,0,Femenino,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Mensual,1,Débito automático,86.45,2401.05,2.881666666666667
92,0,Masculino,0,0,0,26,1,0,No,0,0,0,0,0,0,Mensual,1,Factura electrónica,20.3,511.25,0.6766666666666666
93,0,Femenino,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Mensual,1,Factura electrónica,101.25,3949.15,3.375
94,1,Masculino,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Mensual,1,Débito automático,94.7,2362.1,3.1566666666666667
95,1,Femenino,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Mensual,0,Factura por correo,70.9,70.9,2.3633333333333337
96,,Masculino,0,0,0,29,1,0,DSL,1,1,0,1,0,0,Anual,1,Factura electrónica,58.75,1696.2,1.9583333333333333
97,1,Masculino,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensual,1,Factura electrónica,54.2,1152.7,1.8066666666666669
98,,Femenino,1,0,0,5,1,0,DSL,1,1,0,1,0,0,Mensual,0,Tarjeta de crédito (automático),59.9,287.85,1.9966666666666666
99,0,Femenino,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Bianual,1,Factura electrónica,114.9,8496.7,3.83
100,0,Femenino,0,0,0,24,1,0,No,0,0,0,0,0,0,Bianual,1,Débito automático,19.55,470.2,0.6516666666666667
101,0,Femenino,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Mensual,1,Factura electrónica,86.85,1564.4,2.895
102,0,Masculino,0,1,1,71,1,1,No,0,0,0,0,0,0,Bianual,0,Tarjeta de crédito (automático),25.35,1847.55,0.8450000000000001
103,0,Masculino,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Mensual,1,Débito automático,109.9,3694.7,3.6633333333333336
104,0,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,19.95,58,0.6649999999999999
105,0,Masculino,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Mensual,0,Factura electrónica,87.2,4017.45,2.9066666666666667
106,0,Masculino,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Bianual,0,Factura por correo,108.15,6825.65,3.605
107,0,Masculino,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,Anual,1,Débito automático,116.3,8309.55,3.8766666666666665
108,0,Masculino,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Mensual,1,Factura electrónica,89.0,605.45,2.966666666666667
109,0,Femenino,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Mensual,0,Factura por correo,74.4,1972.35,2.48
110,0,Masculino,0,0,0,2,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,20.05,33.7,0.6683333333333333
111,0,Femenino,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Bianual,0,Débito automático,35.05,844.45,1.1683333333333332
112,0,Masculino,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensual,1,Factura electrónica,74.75,2111.3,2.4916666666666667
113,1,Femenino,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,Anual,1,Tarjeta de crédito (automático),105.5,6205.5,3.5166666666666666
114,1,Masculino,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Mensual,1,Factura electrónica,85.25,855.3,2.841666666666667
115,0,Femenino,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Tarjeta de crédito (automático),75.2,633.85,2.506666666666667
116,1,Femenino,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Mensual,1,Factura electrónica,84.35,474.9,2.8116666666666665
117,0,Femenino,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,Anual,0,Débito automático,84.45,5848.6,2.815
118,0,Femenino,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Bianual,1,Débito automático,102.4,6471.85,3.4133333333333336
119,1,Femenino,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,Anual,0,Tarjeta de crédito (automático),115.55,8127.6,3.8516666666666666
120,1,Masculino,0,0,0,25,1,1,No,0,0,0,0,0,0,Anual,0,Débito automático,25.3,676.35,0.8433333333333334
121,0,Femenino,0,1,1,46,1,0,No,0,0,0,0,0,0,Bianual,1,Factura por correo,19.25,864.2,0.6416666666666667
122,0,Femenino,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,Anual,1,Factura por correo,114.65,6049.5,3.8216666666666668
123,1,Femenino,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Mensual,0,Factura electrónica,105.1,1582.75,3.503333333333333
124,0,Femenino,0,1,1,12,1,0,No,0,0,0,0,0,0,Mensual,0,Débito automático,19.4,198.1,0.6466666666666666
125,0,Femenino,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Mensual,1,Factura electrónica,50.35,1098.85,1.6783333333333335
126,0,Femenino,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Bianual,0,Débito automático,57.8,4039.3,1.9266666666666665
127,0,Masculino,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Mensual,1,Tarjeta de crédito (automático),84.3,2438.6,2.81
128,0,Masculino,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,Anual,0,Débito automático,100.55,7113.75,3.3516666666666666
129,0,Masculino,0,1,0,30,1,0,No,0,0,0,0,0,0,Anual,0,Tarjeta de crédito (automático),19.8,576.65,0.66
130,1,Masculino,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Mensual,1,Débito automático,84.8,371.9,2.8266666666666667
131,1,Masculino,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Mensual,1,Factura electrónica,85.85,167.3,2.8616666666666664
132,0,Masculino,0,0,1,10,1,0,No,0,0,0,0,0,0,Anual,1,Débito automático,19.95,219.5,0.6649999999999999
133,0,Masculino,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Mensual,0,Factura electrónica,75.35,273.4,2.5116666666666663
134,0,Masculino,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Mensual,1,Tarjeta de crédito (automático),48.8,2555.05,1.6266666666666665
135,1,Masculino,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensual,0,Factura electrónica,47.15,223.15,1.5716666666666665
136,0,Masculino,0,1,1,8,1,0,No,0,0,0,0,0,0,Bianual,0,Factura por correo,20.15,165.5,0.6716666666666666
137,0,Femenino,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,1,Factura electrónica,44.3,89.3,1.4766666666666666
138,0,Masculino,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Mensual,0,Factura electrónica,84.3,235.05,2.81
139,0,Masculino,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensual,0,Factura electrónica,59.55,1144.6,1.9849999999999999
140,0,Masculino,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Bianual,0,Débito automático,69.65,4908.25,2.3216666666666668
141,0,Masculino,1,1,0,63,0,0,DSL,1,0,0,1,0,0,Anual,0,Débito automático,36.1,2298.9,1.2033333333333334
142,0,Masculino,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Bianual,1,Débito automático,56.6,3789.2,1.8866666666666667
143,1,Masculino,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Mensual,1,Factura electrónica,75.9,75.9,2.5300000000000002
144,0,Femenino,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,Anual,1,Débito automático,79.2,4765,2.64
145,0,Femenino,0,1,1,48,0,0,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de crédito (automático),45.0,2196.3,1.5
146,1,Femenino,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Mensual,1,Tarjeta de crédito (automático),85.55,85.55,2.8516666666666666
147,1,Masculino,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Mensual,1,Factura electrónica,93.35,1444.65,3.1116666666666664
148,0,Femenino,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Mensual,1,Débito automático,109.65,5405.8,3.6550000000000002
149,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bianual,0,Tarjeta de crédito (automático),89.7,6339.3,2.99
150,0,Femenino,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Mensual,0,Factura por correo,84.25,3847.6,2.808333333333333
151,0,Femenino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bianual,0,Débito automático,92.65,6733,3.0883333333333334
152,0,Masculino,0,1,1,1,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,19.7,19.7,0.6566666666666666
153,0,Femenino,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,Factura electrónica,50.1,50.1,1.6700000000000002
154,0,Femenino,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Bianual,1,Débito automático,92.45,6140.85,3.0816666666666666
155,0,Femenino,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Bianual,0,Factura electrónica,79.65,3870.3,2.6550000000000002
156,0,Femenino,0,0,0,72,1,0,Fiber optic,1,1,1,1,1,1,Bianual,1,Factura electrónica,109.9,7624.2,3.6633333333333336
157,0,Masculino,0,1,0,52,1,1,DSL,1,1,1,1,0,1,Anual,1,Tarjeta de crédito (automático),81.4,4354.45,2.7133333333333334
158,0,Femenino,0,1,1,67,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de crédito (automático),50.55,3431.75,1.6849999999999998
159,1,Femenino,0,1,1,28,1,0,Fiber optic,0,0,0,0,0,1,Mensual,1,Factura electrónica,81.05,2227.1,2.7016666666666667
160,0,Femenino,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensual,0,Débito automático,62.45,2045.55,2.0816666666666666
161,1,Femenino,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Mensual,1,Débito automático,75.2,1929.35,2.506666666666667
162,0,Masculino,0,0,0,3,1,0,Fiber optic,0,1,1,0,0,1,Mensual,0,Factura electrónica,90.4,268.45,3.0133333333333336
163,1,Masculino,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Mensual,1,Factura electrónica,85.65,181.5,2.855
164,1,Femenino,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensual,1,Factura por correo,72.9,651.4,2.43
165,0,Masculino,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Bianual,1,Tarjeta de crédito (automático),70.5,3486.65,2.35
166,0,Femenino,0,1,1,71,1,0,No,0,0,0,0,0,0,Bianual,0,Débito automático,20.1,1389.6,0.67
167,1,Masculino,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Factura electrónica,74.9,2303.35,2.496666666666667
168,0,Femenino,0,1,1,16,1,0,Fiber optic,1,0,1,0,1,1,Mensual,0,Débito automático,100.7,1522.7,3.356666666666667
169,0,Femenino,0,1,1,67,1,1,Fiber optic,0,0,1,1,1,1,Bianual,1,Débito automático,105.65,6717.9,3.521666666666667
170,0,Masculino,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Bianual,1,Tarjeta de crédito (automático),114.3,8058.55,3.81
171,1,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Factura electrónica,19.75,58.85,0.6583333333333333
172,0,Masculino,0,1,1,23,1,1,No,0,0,0,0,0,0,Anual,0,Factura por correo,24.35,538.5,0.8116666666666668
173,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Bianual,0,Débito automático,69.85,5102.35,2.328333333333333
174,0,Masculino,0,1,1,7,0,0,DSL,1,1,1,0,1,1,Mensual,0,Factura por correo,58.85,465.7,1.9616666666666667
175,,Masculino,1,1,0,65,1,1,Fiber optic,0,1,1,0,1,1,Anual,1,Débito automático,103.15,6792.45,3.4383333333333335
176,0,Masculino,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Mensual,1,Factura electrónica,54.4,475.1,1.8133333333333332
177,0,Masculino,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Bianual,0,Débito automático,50.55,3364.55,1.6849999999999998
178,1,Masculino,0,0,0,5,1,0,No,0,0,0,0,0,0,Mensual,0,Factura por correo,21.05,113.85,0.7016666666666667
179,1,Masculino,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Mensual,1,Débito automático,103.7,5036.3,3.4566666666666666
180,0,Masculino,0,1,0,63,1,0,No,0,0,0,0,0,0,Bianual,1,Débito automático,19.95,1234.8,0.6649999999999999
181,0,Femenino,1,1,1,12,0,0,DSL,0,0,0,1,0,0,Mensual,1,Factura por correo,29.3,355.9,0.9766666666666667
182,0,Masculino,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Mensual,1,Tarjeta de crédito (automático),54.75,1510.3,1.825
183,0,Femenino,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Mensual,0,Factura electrónica,60.55,1982.6,2.018333333333333
184,0,Femenino,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Mensual,1,Factura electrónica,86.2,4524.05,2.8733333333333335
185,1,Masculino,0,0,0,1,1,1,Fiber optic,0,0,0,0,1,1,Mensual,1,Factura electrónica,95.45,95.45,3.1816666666666666
186,0,Masculino,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Mensual,1,Tarjeta de crédito (automático),63.95,318.1,2.131666666666667
187,0,Masculino,0,0,0,19,1,0,DSL,0,1,0,1,0,1,Anual,1,Débito automático,65.35,1231.85,2.1783333333333332
188,0,Masculino,0,1,1,52,0,0,DSL,0,1,1,1,1,0,Bianual,0,Factura por correo,50.2,2554,1.6733333333333333
189,0,Femenino,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Bianual,1,Débito automático,63.8,4684.3,2.1266666666666665
190,0,Masculino,0,0,0,32,1,0,No,0,0,0,0,0,0,Bianual,1,Débito automático,20.05,614.45,0.6683333333333333
191,1,Femenino,0,1,0,8,1,0,Fiber optic,0,1,1,0,1,1,Mensual,0,Factura electrónica,101.15,842.9,3.371666666666667
192,0,Masculino,0,0,0,41,1,1,DSL,0,0,1,0,0,1,Anual,0,Factura por correo,65.0,2531.8,2.1666666666666665
193,0,Masculino,0,0,0,5,1,0,No,0,0,0,0,0,0,Mensual,1,Factura por correo,19.25,86.05,0.6416666666666667
194,0,Femenino,0,0,1,11,0,0,DSL,1,0,0,1,0,0,Anual,1,Factura por correo,36.05,402.6,1.2016666666666667
